Timestamp,ID,Parking Name,Total Spaces,Free Spaces,Last Updated
2025-03-01 20:41:50,412,Pirnaischer Platz,110,25,"01.03.25, 21:41"
2025-03-01 20:41:51,452,SP1 Straßburger Platz,291,154,"01.03.25, 21:41"
2025-03-01 20:41:52,447,Bahnhof Neustadt,40,N/A,N/A
2025-03-01 20:41:53,448,Palaisplatz,100,N/A,N/A
2025-03-01 20:41:55,420,Sarrasanistraße,55,22,"01.03.25, 21:41"
2025-03-01 20:41:56,418,Theresienstraße,140,61,"01.03.25, 21:41"
2025-03-01 20:41:57,417,Wiesentorstraße,120,56,"01.03.25, 21:41"
2025-03-01 20:41:58,449,Wigardstraße,180,N/A,N/A
2025-03-01 20:42:00,465,Fidelio-F.-Finke-Straße,105,70,"01.03.25, 21:41"
2025-03-01 20:42:01,424,MESSE DRESDEN Parkplatz P7,N/A,N/A,N/A
2025-03-01 20:42:02,437,Cossebaude,32,28,"01.03.25, 21:41"
2025-03-01 20:42:03,441,Gompitz,46,N/A,N/A
2025-03-01 20:42:05,459,Grenzstraße,38,23,"01.03.25, 21:41"
2025-03-01 20:42:06,427,Kaditz,190,161,"01.03.25, 21:41"
2025-03-01 20:42:07,433,Klotzsche,36,10,"01.03.25, 21:41"
2025-03-01 20:42:08,439,Langebrück,50,37,"01.03.25, 21:41"
2025-03-01 20:42:09,436,Pennrich,50,46,"01.03.25, 21:41"
2025-03-01 20:42:11,426,Prohlis,56,45,"01.03.25, 21:41"
2025-03-01 20:42:12,434,Reick,19,19,"01.03.25, 21:41"
2025-03-01 20:42:13,460,Weißig,33,N/A,N/A
2025-03-01 20:42:14,466,Weixdorf Bad,24,N/A,N/A
2025-03-01 20:42:15,450,Ammonstraße Bus,45,N/A,N/A
2025-03-01 20:42:17,454,Pieschener Allee Bus,130,116,"01.03.25, 21:41"
